time,FEC0,FEC1,FEC2,FEC3
20251001/0106_45,188.669,163.290,198.611,192.800
20251001/0108_05,188.669,163.290,198.611,192.800
20251001/0113_59,188.669,163.290,198.611,192.800
20251001/0115_19,188.669,163.290,198.611,192.800
20251001/0117_34,188.669,163.290,198.611,192.800
20251001/0118_54,188.669,163.290,198.611,192.800
20251001/0121_07,188.669,163.290,198.611,192.800
20251001/0122_27,188.669,163.290,198.611,192.800
20251001/0125_09,190.183,218.732,199.944,194.422
20251001/0126_29,190.183,218.732,199.944,194.422
20251001/0128_54,189.208, 274.930, 201.276, 194.230
20251001/0130_15,189.208, 274.930, 201.276, 194.230
20251001/0231_45,189.104, 275.546, 201.062, 193.468
20251001/0233_05,189.104, 275.546, 201.062, 193.468
